category,name,quantity,unit,pack_size,minimum_stock,cost_per_unit,last_purchase_price,supplier,notes
Boissons,Café,0,Casier,1,0.00,0,0,,
Boissons,Coca Cola,0,Casier,1,0.00,0,0,,
Boissons,Coca Cola Zéro,0,Casier,1,0.00,0,0,,
Boissons,Hawaï,0,Casier,1,0.00,0,0,,
Boissons,Orangina,0,Casier,1,0.00,0,0,,
Boissons,Oulmès 33cl,0,Casier,1,0.00,0,0,,
Boissons,Oulmès 75cl,0,Casier,1,0.00,0,0,,
Boissons,San Miguel,0,Casier,1,0.00,0,0,,
Boissons,Schweppes Citron,0,Casier,1,0.00,0,0,,
Boissons,Schweppes Tonic,0,Casier,1,0.00,0,0,,
Boissons,Sidi Ali 50cl,0,Casier,1,0.00,0,0,,
Boissons,Sidi Ali 75cl,0,Casier,1,0.00,0,0,,
Boissons,Sprite,0,Casier,1,0.00,0,0,,
Fromage,Burrata,0,kg,1,0.00,0,0,Gastro Mix,
Fromage,Mozza salade,0,kg,1,0.00,0,0,Gastro Mix,
Fromage,Mozzarella,0,kg,1,0.00,0,0,Gastro Mix,
Fromage,Ricotta,0,kg,1,0.00,0,0,Gastro Mix,
Fromage,Scarmosa,0,kg,1,0.00,0,0,Gastro Mix,
Fromage,feta,0,kg,1,0,0,0,Hero Food,
Légumes,Ail,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Asperges,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Aubergine,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Avocat,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Banane,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Basilic,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Betterave,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Brocolis,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Bébé carottes,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Carotte,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Champignons,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Choux Bruxelles,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Ciboulette,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Citron,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Concombre,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Courgettes,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Fraise,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Framboise,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Fruits rouges,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Germe,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Gingembre frais,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Haricots verts,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Herb,0,pieces,1,0,0,0,ELK Fresh,
Légumes,Kiwi,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Mangue,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Menthe,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Mertyl,0,kg,1,0,0,0,,
Légumes,Oignons rouges,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Olive noire,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Orange,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Pamplemousse,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Persil,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Petit pois,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Poire,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Poireaux,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Poivrons Rouge,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Poivrons jaunes,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Poivrons rouge,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Pomme de terre,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Pomme nouvelle,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Pommes,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Pousse bettrave,0,pièces,1,0.00,0,0,ELK Fresh,
Légumes,Romarin,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Roquette,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Salade,0,pieces,1,0,0,0,ELK Fresh,
Légumes,Salade ice berg,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Salade lola rosa,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Salade romaine,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Thym,0,pieces,1,0.00,0,0,ELK Fresh,
Légumes,Tomate,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Tomate cerise,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,Tomate cerise jaune,0,kg,1,0.00,0,0,ELK Fresh,
Légumes,coriande,0,pieces,1,0,0,0,ELK Fresh,
Légumes,epinard,0,pieces,1,0,0,0,ELK Fresh,
Légumes,pimant fort,0,pieces,1,0,0,0,ELK Fresh,
Légumes,poivre blanc,0,kg,1,0,0,0,Hero Food,
Légumes,Épinard,0,kg,1,0.00,0,0,ELK Fresh,
Poisson,Calamars,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Chair de crabe,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Dorade,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Espadon,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Gambas 30/50,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Moule avec coquille,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Moule décortiquée,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Palourde,0,kg,1,0.00,0,0,Pesca Frigo,
Poisson,Pave,0,kg,1,0.00,0,0,,
Poisson,Poulpe,0,kg,1,0.00,0,0,Pesca Frigo,
